cik,company,date_added,founded,headquarters,sector,sub_industry,ticker
0000066740,3M,1957-03-04,1902,"Saint Paul, Minnesota",Industrials,Industrial Conglomerates,MMM
0000091142,A. O. Smith,2017-07-26,1916,Milwaukee,Industrials,Building Products,AOS
0000001800,Abbott Laboratories,1957-03-04,1888,"North Chicago, Illinois",Health Care,Health Care Equipment,ABT
0001551152,AbbVie,2012-12-31,2013 (1888),"North Chicago, Illinois",Health Care,Biotechnology,ABBV
0001467373,Accenture,2011-07-06,1989,Dublin,Information Technology,IT Consulting & Other Services,ACN
0000796343,Adobe Inc.,1997-05-05,1982,"San Jose, California",Information Technology,Application Software,ADBE
0000002488,Advanced Micro Devices,2017-03-20,1969,"Santa Clara, California",Information Technology,Semiconductors,AMD
0000874761,AES Corporation,1998-10-02,1981,"Arlington, Virginia",Utilities,Independent Power Producers & Energy Traders,AES
0000004977,Aflac,1999-05-28,1955,"Columbus, Georgia",Financials,Life & Health Insurance,AFL
0001090872,Agilent Technologies,2000-06-05,1999,"Santa Clara, California",Health Care,Life Sciences Tools & Services,A
0000002969,Air Products,1985-04-30,1940,"Upper Macungie Township, Pennsylvania",Materials,Industrial Gases,APD
0001559720,Airbnb,2023-09-18,2008,San Francisco,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ABNB
0001086222,Akamai Technologies,2007-07-12,1998,"Cambridge, Massachusetts",Information Technology,Internet Services & Infrastructure,AKAM
0000915913,Albemarle Corporation,2016-07-01,1994,"Charlotte, North Carolina",Materials,Specialty Chemicals,ALB
0001035443,Alexandria Real Estate Equities,2017-03-20,1994,"Pasadena, California",Real Estate,Office REITs,ARE
0001097149,Align Technology,2017-06-19,1997,"Tempe, Arizona",Health Care,Health Care Supplies,ALGN
0001579241,Allegion,2013-12-02,1908,Dublin,Industrials,Building Products,ALLE
0000352541,Alliant Energy,2016-07-01,1917,"Madison, Wisconsin",Utilities,Electric Utilities,LNT
0000899051,Allstate,1995-07-13,1931,"Northbrook, Illinois",Financials,Property & Casualty Insurance,ALL
0001652044,Alphabet Inc.,2006-04-03,1998,"Mountain View, California",Communication Services,Interactive Media & Services,GOOGL
0001652044,Alphabet Inc.,2014-04-03,1998,"Mountain View, California",Communication Services,Interactive Media & Services,GOOG
0000764180,Altria,1957-03-04,1985,"Richmond, Virginia",Consumer Staples,Tobacco,MO
0001018724,Amazon,2005-11-18,1994,Seattle,Consumer Discretionary,Broadline Retail,AMZN
0001748790,Amcor,2019-06-07,2019 (1860),Warmley,Materials,Paper & Plastic Packaging Products & Materials,AMCR
0001002910,Ameren,1991-09-19,1902,St. Louis,Utilities,Multi-Utilities,AEE
0000004904,American Electric Power,1957-03-04,1906,"Columbus, Ohio",Utilities,Electric Utilities,AEP
0000004962,American Express,1976-06-30,1850,New York City,Financials,Consumer Finance,AXP
0000005272,American International Group,1980-03-31,1919,New York City,Financials,Multi-line Insurance,AIG
0001053507,American Tower,2007-11-19,1995,Boston,Real Estate,Telecom Tower REITs,AMT
0001410636,American Water Works,2016-03-04,1886,"Camden, New Jersey",Utilities,Water Utilities,AWK
0000820027,Ameriprise Financial,2005-10-03,1894,Minneapolis,Financials,Asset Management & Custody Banks,AMP
0001037868,Ametek,2013-09-23,1930,"Berwyn, Pennsylvania",Industrials,Electrical Components & Equipment,AME
0000318154,Amgen,1992-01-02,1980,"Thousand Oaks, California",Health Care,Biotechnology,AMGN
0000820313,Amphenol,2008-09-30,1932,"Wallingford, Connecticut",Information Technology,Electronic Components,APH
0000006281,Analog Devices,1999-10-12,1965,"Wilmington, Massachusetts",Information Technology,Semiconductors,ADI
0000315293,Aon plc,1996-04-23,1982 (1919),London,Financials,Insurance Brokers,AON
0001841666,APA Corporation,1997-07-28,1954,Houston,Energy,Oil & Gas Exploration & Production,APA
0001858681,Apollo Global Management,2024-12-23,1990,New York City,Financials,Asset Management & Custody Banks,APO
0000320193,Apple Inc.,1982-11-30,1977,"Cupertino, California",Information Technology,"Technology Hardware, Storage & Peripherals",AAPL
0000006951,Applied Materials,1995-03-16,1967,"Santa Clara, California",Information Technology,Semiconductor Materials & Equipment,AMAT
0001751008,AppLovin,2025-09-22,2012,"Palo Alto, California",Information Technology,Application Software,APP
0001521332,Aptiv,2012-12-24,1994,Schaffhausen,Consumer Discretionary,Automotive Parts & Equipment,APTV
0000947484,Arch Capital Group,2022-11-01,1995,"Hamilton, Bermuda",Financials,Property & Casualty Insurance,ACGL
0000007084,Archer Daniels Midland,1957-03-04,1902,Chicago,Consumer Staples,Agricultural Products & Services,ADM
0001176948,Ares Management,2025-12-11,1977,Los Angeles,Financials,Asset Management & Custody Banks,ARES
0001596532,Arista Networks,2018-08-28,2004,"Santa Clara, California",Information Technology,Communications Equipment,ANET
0000354190,Arthur J. Gallagher & Co.,2016-05-31,1927,"Rolling Meadows, Illinois",Financials,Insurance Brokers,AJG
0001267238,Assurant,2007-04-10,1892,Atlanta,Financials,Multi-line Insurance,AIZ
0000732717,AT&T,1983-11-30,1983 (1885),Dallas,Communication Services,Integrated Telecommunication Services,T
0000731802,Atmos Energy,2019-02-15,1906,Dallas,Utilities,Gas Utilities,ATO
0000769397,Autodesk,1989-12-01,1982,San Francisco,Information Technology,Application Software,ADSK
0000008670,Automatic Data Processing,1981-03-31,1949,"Roseland, New Jersey",Industrials,Human Resource & Employment Services,ADP
